predictedValue,RealValue,ErrorPercent
'29.18685534418121','25.12761905','16.15448039905401'
'29.185944547664196','28.46863636','2.519643647814659'
'29.18738512921637','23.35956522','24.94832354254053'
'29.187278523328228','25.47727273','14.562020953520753'
'29.187518644925017','28.87157895','1.0942930951998289'
'29.18775876424806','42.61444444','31.507358249516443'
'29.188048410192557','24.46391304','19.310628526467962'
'29.188288520474778','30.97961538','5.7822759822953635'
'29.187377556870853','36.49884615','20.032054062972467'
'29.188768722103518','26.14166667','11.656112406942869'
'29.189058332485455','30.5865','4.568818490231133'
'29.185288688250413','23.35722222','24.951881749277685'
'29.18568945839772','27.73142857','5.2440893361366525'
'29.185768932087555','20.02576923','45.741062911906695'
'29.186058603474045','24.85576923','17.421667112388317'
'29.18611255821829','30.88421053','5.4982722324478015'
'29.18625511919676','24.2853125','20.18068583303904'
'29.18643218310236','34.2068','14.676519922640058'
'29.186721850356097','34.8176','16.172505140055325'
'29.186615217361343','21.83590909','33.6633849182294'
'29.18685534418121','30.0385','2.8351770421918143'
'29.185944547664196','30.0647619','2.923081031737041'
'29.18738512921637','29.48695652','1.0159454421158747'
'29.187278523328228','37.94714286','23.08438442649005'
'29.187865366711687','22.7','28.580904699170436'
'29.188105478024962','34.10285714','14.41155396980042'
'29.188048410192557','25.86761905','12.836238827293844'
'29.188288520474778','41.48727273','29.645198154063436'
'29.187377556870853','40.75913043','28.390578383419022'
'29.188768722103518','26.3024','10.973784605600704'
'29.189058332485455','26.2696','11.11344798735213'
'29.185288688250413','18.24411765','59.97095199750816'
'29.184488860958762','24.65238095','18.384057589207263'
'29.185422148699217','19.45454545','50.01852509845824'
'29.185711804839787','24.18090909','20.697330676080828'
'29.185041180228797','20.63892857','41.4077338425945'
'29.185738770069953','29.45875','0.9267576863581962'
'29.186721850356097','23.08375','26.438389994503055'
'29.18592189540486','19.34684211','50.85625720964163'
'29.18685534418121','20.49545455','42.40647980252387'
'29.185944547664196','19.92038462','46.51295697554757'
'29.18738512921637','28.04571429','4.070749731710151'
'29.187278523328228','26.10454545','11.809181198856034'
'29.187865366711687','18.64217391','56.569000523349835'
'29.18775876424806','29.08882353','0.3401142509116114'
'29.188048410192557','21.22227273','37.5349793188364'
'29.188288520474778','30.79692308','5.223361292771139'
'29.187377556870853','29.33769231','0.5123605208645268'
'29.188768722103518','20.05916667','45.51336654357396'
'29.189058332485455','27.81869565','4.9260493724315095'
